date,region,min,max
2020/04/22,Australia_New South Wales,15.8,23.9
2020/04/22,Belgium_nan,10.6,17.8
2020/04/22,Brazil_nan,20.0,21.7
2020/04/22,Canada_Ontario,-8.8,-4.6
2020/04/22,Canada_Quebec,-19.0,-15.3
2020/04/22,China_Beijing,3.0,13.1
2020/04/22,China_Guangdong,25.0,30.0
2020/04/22,China_Hong Kong,21.4,24.7
2020/04/22,China_Hubei,11.0,17.0
2020/04/22,China_Macau,24.0,28.0
2020/04/22,China_Shanghai,12.1,15.8
2020/04/22,Finland_nan,1.1,7.2
2020/04/22,France_nan,13.0,15.5
2020/04/22,Germany_nan,7.0,11.0
2020/04/22,India_nan,28.0,39.0
2020/04/22,Iran_nan,6.0,19.0
2020/04/22,Italy_nan,10.6,11.5
2020/04/22,Japan_nan,4.6,16.8
2020/04/22,"Korea, South_nan",3.0,13.0
2020/04/22,Malaysia_nan,23.0,34.0
2020/04/22,Netherlands_nan,11.7,16.7
2020/04/22,Norway_nan,0.6,4.4
2020/04/22,Philippines_nan,26.7,32.2
2020/04/22,Poland_nan,4.4,10.6
2020/04/22,Portugal_nan,8.4,11.1
2020/04/22,Russia_nan,-5.0,16.0
2020/04/22,Singapore_nan,27.5,34.0
2020/04/22,Spain_nan,8.8,12.0
2020/04/22,Sweden_nan,1.1,10.0
2020/04/22,Switzerland_nan,6.5,10.0
2020/04/22,Taiwan*_nan,18.9,22.0
2020/04/22,Turkey_nan,10.9,16.9
2020/04/22,United Kingdom_nan,2.2,7.2
2020/04/22,United States_nan,8.4,11.4
2020/04/22,Vietnam_nan,25.2,32.0
